site,b_r,bag,number,outplant_time,empty_dish,whole_oyster,length,dry_whole,dry_tissue,
E,b,2,7,51,2.5865,32.4258,68.76,23.3187,3.4582,
E,b,2,8,51,2.5133,31.6671,62,21.9667,3.7206,
E,b,2,9,51,2.5803,38.4607,70.67,25.9858,3.9602,
E,b,2,10,51,2.5141,42.3593,69.11,28.3659,4.139,
E,b,3,1,51,2.5021,43.2824,69.74,26.1866,3.8623,
E,b,3,2,51,2.4829,36.0458,83.13,25.8057,3.9695,
E,b,3,3,51,2.5168,28.4127,68.88,16.7234,3.6123,
E,b,3,4,51,2.6367,23.2237,50,16.7835,3.4115,
E,b,3,5,51,2.5213,31.3254,60.22,20.2386,3.5979,
E,b,3,6,51,2.5187,36.3635,75.69,26.2457,3.9932,
E,b,3,7,51,2.5647,36.5072,75.22,23.7519,3.9533,
E,b,3,8,51,2.5155,32.5093,63.25,23.4407,3.984,
E,b,3,9,51,2.4828,26.4649,55.46,17.9634,3.2979,
E,b,3,10,51,2.4898,33.1274,81.09,22.817,3.6964,
E,b,4,1,51,2.5061,24.707,45.2,16.3307,3.2814,
E,b,4,2,51,2.5144,24.2303,57.41,16.5131,3.1978,
E,b,4,3,51,2.5556,24.5644,73.1,17.4409,3.4574,
E,b,4,4,51,2.5516,31.283,72.33,22.8918,3.7985,
E,b,4,5,51,2.435,21.7254,55.96,15.2197,3.0437,
E,b,4,6,51,2.4941,25.2979,50.82,16.8666,3.2564,
E,b,4,7,51,2.5193,34.3119,68.49,23.8956,3.7897,
E,b,4,8,51,2.5275,37.2041,78.33,25.3081,4.1187,
E,b,4,9,51,2.474,23.1368,58.22,15.4985,3.0874,
E,b,4,10,51,2.4216,16.5628,48.95,11.9322,2.8523,
E,b,5,1,51,2.489,27.7159,73.51,18.129,3.183,
E,b,5,2,51,2.5398,39.465,78.54,28.8509,3.9879,
E,b,5,3,51,2.477,23.725,68.62,16.2702,3.1785,
E,b,5,4,51,2.5946,59.4687,91.67,37.4497,5.1704,
E,b,5,5,51,2.4793,32.5235,51.9,22.3949,3.3726,
E,b,5,6,51,2.556,49.2298,68.33,33.3629,4.742,
E,b,5,7,51,2.4703,45.84633,77.1,30.2408,4.2884,
E,b,5,8,51,2.5185,46.1401,70.61,27.5592,4.5075,
E,b,5,9,51,2.6433,29.0353,68.26,18.9142,3.5631,
E,b,5,10,51,2.4692,32.979,61.78,19.3823,3.5754,
C,r,1,1,51.28571429,2.7098,51.8385,79.43,34.7298,5.5481,
C,r,1,2,51.28571429,2.5019,26.9581,61.93,18.8854,3.9884,
C,r,1,3,51.28571429,2.6622,24.0218,80.07,15.4169,3.6875,
C,r,1,4,51.28571429,2.7169,50.5551,76.99,30.4311,5.7281,
C,r,1,5,51.28571429,2.6481,32.49,52.55,21.3225,4.1396,
C,r,1,6,51.28571429,2.5988,27.7372,45.52,16.4366,3.5815,
C,r,1,7,51.28571429,2.5973,34.3857,69.37,20.7262,4.6354,
C,r,1,8,51.28571429,2.5684,48.6232,83.77,27.9938,4.6262,
C,r,1,9,51.28571429,2.7396,40.5401,74.11,22.0083,4.5167,
C,r,1,10,51.28571429,2.8108,25.8472,68.82,14.6579,3.5307,
C,r,1,11,51.28571429,2.486,33.9335,54.87,20.0805,3.9378,
C,r,1,12,51.28571429,2.4905,32.1093,67.95,18.7949,3.8544,
C,r,1,13,51.28571429,2.4889,28.1502,54.32,19.7933,3.5559,
C,r,1,14,51.28571429,2.4868,43.0939,101.22,24.5064,4.5386,
C,r,1,15,51.28571429,2.4337,55.8658,56.47,33.5113,5.1286,
C,r,2,1,51.28571429,2.5872,48.3049,63.38,31.0831,5.0911,
C,r,2,2,51.28571429,2.6508,60.9939,78.07,39.252,6.2119,
C,r,2,3,51.28571429,2.6971,30.6998,65.63,20.8394,3.9877,
C,r,2,4,51.28571429,2.6213,60.5447,85.3,36.1305,5.8399,
C,r,2,5,51.28571429,2.5277,33.5232,75.78,23.4652,4.0837,
C,r,2,6,51.28571429,2.6717,61.8374,81.94,39.2158,6.4482,
C,r,2,7,51.28571429,2.7267,46.3242,86.18,30.7804,5.1613,
C,r,2,8,51.28571429,2.8794,37.7487,60.64,24.1407,5.2739,
C,r,2,9,51.28571429,2.6714,32.2416,73.05,22.2483,4.2791,
C,r,2,10,51.28571429,2.7594,73.7196,94.62,45.6416,7.2039,
C,r,2,11,51.28571429,2.4323,56.5862,93.06,35.0706,5.3014,
C,r,2,12,51.28571429,2.4268,48.739,67.75,31.838,5.4309,
