site,b_r,bag,outplant_time,shell_length,month,growth_rate
B,r,3,51.42857143,80.73,12,0.5343916666518226
B,r,3,51.42857143,82.58,12,0.5703638888730455
B,r,3,51.42857143,105.77,12,1.0212805555271867
B,r,3,51.42857143,93.7,12,0.7865861110892616
B,r,3,51.42857143,74.66,12,0.4163638888773232
C,b,1,51.28571429,64.32,12,0.21590807797638636
C,b,1,51.28571429,77.51,12,0.47309470748135707
C,b,1,51.28571429,62.92,12,0.18861002783939196
C,b,1,51.28571429,79.29,12,0.5078022283698217
C,b,1,51.28571429,92.64,12,0.7681086350333057
C,b,1,51.28571429,74.49,12,0.4142089136144114
C,b,1,51.28571429,46.57,12,-0.1301922005462235
C,b,1,51.28571429,101.55,12,0.9418412255480355
C,b,1,51.28571429,63.47,12,0.19933426182178263
C,b,1,51.28571429,82.36,12,0.5676629525988025
C,b,2,51.28571429,85.65,12,0.6318133704207399
C,b,2,51.28571429,47.95,12,-0.10328412255404305
C,b,2,51.28571429,85.52,12,0.6292785514794473
C,b,2,51.28571429,92.71,12,0.7694735375401552
C,b,2,51.28571429,76.37,12,0.4508662952269472
C,b,2,51.28571429,91.83,12,0.7523147631683302
C,b,2,51.28571429,63.5,12,0.19991922003900398
C,b,2,51.28571429,74.41,12,0.4126490250351546
C,b,2,51.28571429,46.82,12,-0.12531754873604586
C,b,2,51.28571429,51.2,12,-0.03991364902173418
C,b,3,51.28571429,73.33,12,0.3915905292151874
C,b,3,51.28571429,77.85,12,0.4797242339431984
C,b,3,51.28571429,77.57,12,0.4742646239157995
C,b,3,51.28571429,88.43,12,0.686019498549915
C,b,3,51.28571429,71.35,12,0.35298328687858066
C,b,3,51.28571429,72.49,12,0.3752116991329906
C,b,3,51.28571429,54.42,12,0.02287186629335336
C,b,3,51.28571429,68.4,12,0.29546239551848513
C,b,3,51.28571429,44.12,12,-0.17796378828596407
C,b,3,51.28571429,59.64,12,0.12465459608986175
C,b,4,51.28571429,70.13,12,0.329194986044914
C,b,4,51.28571429,68.99,12,0.30696657379050407
C,b,4,51.28571429,69.72,12,0.32120055707622275
C,b,4,51.28571429,73.76,12,0.39997493032869297
C,b,4,51.28571429,52.03,12,-0.02372980501194456
C,b,4,51.28571429,42.25,12,-0.21442618382609252
C,b,4,51.28571429,38.67,12,-0.2842311977478358
C,b,4,51.28571429,32.17,12,-0.41097214481245353
C,b,4,51.28571429,65.05,12,0.23014206126210507
C,b,4,51.28571429,60.69,12,0.14512813369260763
C,b,5,51.28571429,51.86,12,-0.027044568242865365
C,b,5,51.28571429,56.83,12,0.06986350974346542
C,b,5,51.28571429,70.75,12,0.3412841225341545
C,b,5,51.28571429,48.05,12,-0.10133426182997211
C,b,5,51.28571429,73.57,12,0.3962701949529578
C,b,5,51.28571429,36.92,12,-0.31835376041907903
C,b,5,51.28571429,51.71,12,-0.0299693593289719
C,b,5,51.28571429,64.18,12,0.21317827296268718
C,b,5,51.28571429,80.94,12,0.5399749303169937
C,b,5,51.28571429,59.08,12,0.11373537603506387
A,b,1,51.57142857,72.32,12,0.36983656510719753
A,b,1,51.57142857,68.17,12,0.2893656509775448
A,b,1,51.57142857,65.64,12,0.24030747923103346
A,b,1,51.57142857,95.83,12,0.825709141297111
A,b,1,51.57142857,69.96,12,0.3240747922527443
A,b,1,51.57142857,33.98,12,-0.3735983379604875
A,b,1,51.57142857,87.08,12,0.6560415512647102
A,b,1,51.57142857,83.68,12,0.590113573423549
A,b,1,51.57142857,62.01,12,0.16991966759473456
A,b,2,51.57142857,58.88,12,0.10922714681743016
A,b,2,51.57142857,47.19,12,-0.11744875346585734
A,b,2,51.57142857,62.9,12,0.1871772853237445
A,b,2,51.57142857,60.59,12,0.14238504155519077
A,b,2,51.57142857,79.48,12,0.5086731302079965
A,b,2,51.57142857,63.82,12,0.2050166205042941
A,b,2,51.57142857,67.69,12,0.28005817175291015
