"","site","b_r","bag","outplant_time","shell_length","wet_mass","dry_whole","dry_tissue","month"
"47","D","r",5,51,61.8,40.501,20.9948,4.5224,3
"48","D","r",5,51,49.04,12.4664,8.0425,2.8359,3
"49","D","r",5,51,82.2,61.1673,29.0786,5.8706,3
"50","E","r",1,51,78.81,43.3294,24.1859,4.5627,3
"51","E","r",1,51,96.19,53.5247,27.0345,4.8195,3
"52","E","r",1,51,97.44,67.5766,38.6923,5.9942,3
"53","E","r",1,51,70.38,29.4085,17.001,3.8485,3
"54","E","r",1,51,78.49,46.3478,26.3927,4.6888,3
"55","E","r",1,51,66.12,48.8385,27.644,5.0111,3
"56","E","r",1,51,92.67,69.7101,38.6777,6.4356,3
"57","E","r",1,51,106.05,82.5882,48.2827,7.0809,3
"58","E","r",1,51,84.87,58.5998,35.1791,5.6144,3
"59","E","r",1,51,84.16,53.372,31.0872,6.115,3
"60","E","r",2,51,82.77,51.3183,27.3453,4.5876,3
"61","E","r",2,51,82.66,57.5641,30.4614,5.5473,3
"62","E","r",2,51,94.15,79.7943,52.1112,6.8979,3
"63","E","r",2,51,73.25,36.8395,20.4422,4.4727,3
"64","E","r",2,51,84.75,73.3738,46.7267,5.8947,3
"65","E","r",2,51,70.22,40.3491,23.6951,4.2617,3
"66","E","r",2,51,77.15,66.8112,38.3122,6.889,3
"67","E","r",2,51,100.6,70.8508,41.5028,6.0552,3
"68","E","r",2,51,51.76,44.9934,24.6164,5.1875,3
"69","E","r",2,51,76.1,43.3458,25.6191,4.8212,3
"70","E","r",3,51,64.76,28.6807,16.6022,3.727,3
"71","E","r",3,51,84.23,58.6799,34.0059,5.8323,3
"72","E","r",3,51,90.42,67.4175,39.075,6.4537,3
"73","E","r",3,51,75.12,59.6964,33.8372,5.5286,3
"74","E","r",3,51,60.14,37.4478,22.1186,4.3911,3
"75","E","r",3,51,79.06,48.2408,28.782,5.3165,3
"76","E","r",3,51,88.08,75.8262,40.6276,6.3661,3
"77","E","r",3,51,68.11,52.8685,33.3496,5.6025,3
"78","E","r",3,51,64.14,34.3847,20.779,4.0594,3
"79","E","r",3,51,91.07,63.7844,33.4952,6.1725,3
"80","E","r",4,51,63.26,41.0695,24.3352,4.9845,3
"81","E","r",4,51,61.65,54.5904,28.3361,5.3486,3
"82","E","r",4,51,79.18,48.4262,30.0858,5.4404,3
"83","E","r",4,51,93.28,59.681,34.8631,6.4171,3
"84","E","r",4,51,77.65,47.6644,27.1031,4.9911,3
"85","E","r",4,51,78.26,44.4466,26.2965,4.9934,3
"86","E","r",4,51,78.44,58.3324,34.7889,6.3779,3
"87","E","r",4,51,81.05,65.8991,37.237,5.2792,3
"88","E","r",4,51,75.21,45.2511,23.8713,4.2962,3
"89","E","r",4,51,71.78,35.556,19.5423,4.1325,3
"90","E","r",5,51,64.73,43.2646,25.473,4.288,3
"91","E","r",5,51,67.1,40.7414,22.6741,4.3351,3
"92","E","r",5,51,74.36,45.6778,26.6318,5.1701,3
"93","E","r",5,51,88.61,78.8234,40.1895,5.956,3
"94","E","r",5,51,62.78,31.4842,19.3357,4.5492,3
"95","E","r",5,51,76.91,81.1269,43.237,6.9568,3
"96","E","r",5,51,63.3,39.3563,22.9761,4.5227,3
"97","E","r",5,51,64.12,26.9765,17.1173,4.3706,3
"98","E","r",5,51,74.53,54.6832,31.8991,5.3484,3
"99","D","b",1,51,95.07,46.4523,25.7991,4.1035,3
"100","D","b",1,51,83.59,36.1044,22.3564,3.4544,3
"101","D","b",1,51,86.21,43.7027,27.7158,3.8185,3
"102","D","b",1,51,85.81,44.6355,26.1631,3.9476,3
"103","D","b",1,51,72.24,26.6763,14.3009,3.118,3
"104","D","b",1,51,55.74,16.1231,10.7733,2.8816,3
"105","D","b",1,51,84.48,46.9326,28.5977,3.4238,3
"106","D","b",1,51,71.03,24.6311,15.0603,4.0119,3
"107","D","b",1,51,66.1,24.2977,14.7262,3.2042,3
"108","D","b",1,51,63.94,27.1053,16.3458,3.1649,3
"109","D","b",2,51,64.44,25.2294,14.1505,3.1469,3
"110","D","b",2,51,62.49,11.4299,7.9,2.7553,3
"111","D","b",2,51,48.04,34.5463,20.977,3.4132,3
"112","D","b",2,51,80.34,29.9876,18.1114,3.128,3
"113","D","b",2,51,67.69,37.3362,20.3068,3.3978,3
"114","D","b",2,51,72.27,37.6376,20.0684,3.3767,3
"115","D","b",2,51,77.05,15.9191,9.9095,2.7817,3
"116","D","b",2,51,68.65,24.7111,14.6414,3.1306,3
"117","D","b",2,51,93.03,41.9221,26.9146,4.2654,3
"118","D","b",2,51,67.37,30.8275,18.297,3.268,3
"119","D","b",3,51,70.65,43.6044,22.9394,3.8997,3
"120","D","b",3,51,49.51,23.3784,14.6289,3.0151,3
"121","D","b",3,51,67.87,41.1104,23.505,3.4913,3
"122","D","b",3,51,63.7,39.2515,23.2298,3.5313,3
"123","D","b",3,51,68.46,31.8762,18.5404,3.2818,3
"124","D","b",3,51,65.64,27.1549,15.9899,3.1216,3
"125","D","b",3,51,60.72,17.945,9.9152,2.816,3
"126","D","b",3,51,65.92,26.302,13.7302,3.046,3
"127","D","b",3,51,66.3,20.1687,11.2625,2.9344,3
"128","D","b",3,51,57,17.3654,9.3401,2.7599,3
"129","D","b",4,51,84.63,40.3479,24.3355,3.525,3
"130","D","b",4,51,76.84,42.6422,28.3526,3.5763,3
"131","D","b",4,51,97.18,55.21,35.9664,4.1132,3
"132","D","b",4,51,65.44,25.3987,16.1126,3.0686,3
"133","D","b",4,51,62.03,39.5236,24.7032,3.8232,3
"134","D","b",4,51,73.37,28.9688,17.3348,3.2244,3
"135","D","b",4,51,91.35,37.2209,22.2716,3.63,3
"136","D","b",4,51,83.29,51.55,26.4299,3.9068,3
"137","D","b",4,51,48.55,12.3676,7.4234,2.7178,3
"138","D","b",5,51,74.23,38.8399,5.1427,2.5964,3
"139","D","b",5,51,38.1,7.0632,15.0566,3.177,3
"140","D","b",5,51,63.73,26.2572,20.4648,3.2159,3
"141","D","b",5,51,76.07,32.3796,22.419,3.8173,3
"142","D","b",5,51,54.41,31.5519,19.5016,3.6641,3
"143","D","b",5,51,74.98,26.9152,17.4638,3.1175,3
"144","D","b",5,51,53.87,23.8435,13.2882,2.8683,3
"145","D","b",5,51,92.49,44.6499,28.7646,3.8326,3
"146","D","b",5,51,54.42,20.3638,11.9908,3.077,3
"147","D","b",5,51,63.86,29.8676,20.4316,3.3955,3
"148","E","b",1,51,56.56,34.9168,21.4861,3.4275,3
"149","E","b",1,51,81.4,56.0005,30.0159,4.0687,3
"150","E","b",1,51,76.76,34.2422,20.745,3.3343,3
"151","E","b",1,51,58.19,30.4994,20.9405,3.6651,3
"152","E","b",1,51,64.74,24.426,16.7363,3.4693,3
"153","E","b",1,51,77.12,32.4457,23.6563,3.3915,3
"154","E","b",1,51,65.89,38.8832,26.1301,4.3272,3
"155","E","b",1,51,51.22,35.8554,22.1625,3.4113,3
"156","E","b",1,51,72.02,39.6991,27.3223,4.1436,3
"157","E","b",2,51,84.66,44.5803,29.6669,4.2695,3
"158","E","b",2,51,67.45,34.6775,21.4723,3.6395,3
"159","E","b",2,51,74.52,35.243,24.008,3.7043,3
"160","E","b",2,51,67.3,30.5578,18.9003,3.4216,3
"161","E","b",2,51,59.44,25.4945,19.0518,3.343,3
"162","E","b",2,51,68,30.7722,20.8536,3.7408,3
"163","E","b",2,51,68.76,32.4258,23.3187,3.4582,3
"164","E","b",2,51,62,31.6671,21.9667,3.7206,3
"165","E","b",2,51,70.67,38.4607,25.9858,3.9602,3
"166","E","b",2,51,69.11,42.3593,28.3659,4.139,3
"167","E","b",3,51,69.74,43.2824,26.1866,3.8623,3
"168","E","b",3,51,83.13,36.0458,25.8057,3.9695,3
"169","E","b",3,51,68.88,28.4127,16.7234,3.6123,3
"170","E","b",3,51,50,23.2237,16.7835,3.4115,3
"171","E","b",3,51,60.22,31.3254,20.2386,3.5979,3
"172","E","b",3,51,75.69,36.3635,26.2457,3.9932,3
"173","E","b",3,51,75.22,36.5072,23.7519,3.9533,3
"174","E","b",3,51,63.25,32.5093,23.4407,3.984,3
"175","E","b",3,51,55.46,26.4649,17.9634,3.2979,3
"176","E","b",3,51,81.09,33.1274,22.817,3.6964,3
"177","E","b",4,51,45.2,24.707,16.3307,3.2814,3
"178","E","b",4,51,57.41,24.2303,16.5131,3.1978,3
"179","E","b",4,51,73.1,24.5644,17.4409,3.4574,3
"180","E","b",4,51,72.33,31.283,22.8918,3.7985,3
"181","E","b",4,51,55.96,21.7254,15.2197,3.0437,3
"182","E","b",4,51,50.82,25.2979,16.8666,3.2564,3
"183","E","b",4,51,68.49,34.3119,23.8956,3.7897,3
"184","E","b",4,51,78.33,37.2041,25.3081,4.1187,3
"185","E","b",4,51,58.22,23.1368,15.4985,3.0874,3
"186","E","b",4,51,48.95,16.5628,11.9322,2.8523,3
"187","E","b",5,51,73.51,27.7159,18.129,3.183,3
"188","E","b",5,51,78.54,39.465,28.8509,3.9879,3
"189","E","b",5,51,68.62,23.725,16.2702,3.1785,3
"190","E","b",5,51,91.67,59.4687,37.4497,5.1704,3
"191","E","b",5,51,51.9,32.5235,22.3949,3.3726,3
"192","E","b",5,51,68.33,49.2298,33.3629,4.742,3
"193","E","b",5,51,77.1,45.84633,30.2408,4.2884,3
"194","E","b",5,51,70.61,46.1401,27.5592,4.5075,3
"195","E","b",5,51,68.26,29.0353,18.9142,3.5631,3
"196","E","b",5,51,61.78,32.979,19.3823,3.5754,3
"197","C","r",1,51.28571429,79.43,51.8385,34.7298,5.5481,3
"198","C","r",1,51.28571429,61.93,26.9581,18.8854,3.9884,3
"199","C","r",1,51.28571429,80.07,24.0218,15.4169,3.6875,3
"200","C","r",1,51.28571429,76.99,50.5551,30.4311,5.7281,3
"201","C","r",1,51.28571429,52.55,32.49,21.3225,4.1396,3
"202","C","r",1,51.28571429,45.52,27.7372,16.4366,3.5815,3
"203","C","r",1,51.28571429,69.37,34.3857,20.7262,4.6354,3
"204","C","r",1,51.28571429,83.77,48.6232,27.9938,4.6262,3
"205","C","r",1,51.28571429,74.11,40.5401,22.0083,4.5167,3
"206","C","r",1,51.28571429,68.82,25.8472,14.6579,3.5307,3
"207","C","r",1,51.28571429,54.87,33.9335,20.0805,3.9378,3
"208","C","r",1,51.28571429,67.95,32.1093,18.7949,3.8544,3
"209","C","r",1,51.28571429,54.32,28.1502,19.7933,3.5559,3
"210","C","r",1,51.28571429,101.22,43.0939,24.5064,4.5386,3
"211","C","r",1,51.28571429,56.47,55.8658,33.5113,5.1286,3
"212","C","r",2,51.28571429,63.38,48.3049,31.0831,5.0911,3
"213","C","r",2,51.28571429,78.07,60.9939,39.252,6.2119,3
"214","C","r",2,51.28571429,65.63,30.6998,20.8394,3.9877,3
"215","C","r",2,51.28571429,85.3,60.5447,36.1305,5.8399,3
"216","C","r",2,51.28571429,75.78,33.5232,23.4652,4.0837,3
"217","C","r",2,51.28571429,81.94,61.8374,39.2158,6.4482,3
"218","C","r",2,51.28571429,86.18,46.3242,30.7804,5.1613,3
"219","C","r",2,51.28571429,60.64,37.7487,24.1407,5.2739,3
"220","C","r",2,51.28571429,73.05,32.2416,22.2483,4.2791,3
"221","C","r",2,51.28571429,94.62,73.7196,45.6416,7.2039,3
"222","C","r",2,51.28571429,93.06,56.5862,35.0706,5.3014,3
"223","C","r",2,51.28571429,67.75,48.739,31.838,5.4309,3
"224","C","r",2,51.28571429,91.96,56.6524,29.1845,4.8358,3
"225","C","r",2,51.28571429,52.62,28.092,17.6959,3.7156,3
"226","C","r",2,51.28571429,89.76,52.3826,35.2029,5.6954,3
"227","C","r",4,51.28571429,76.87,60.4919,34.5758,5.3767,3
"228","C","r",4,51.28571429,66.87,37.6332,24.4014,4.7555,3
"229","C","r",4,51.28571429,60.1,45.3378,28.9032,5.3252,3
"230","C","r",4,51.28571429,53.43,37.6542,21.5994,4.6522,3
"231","C","r",4,51.28571429,68.69,42.3352,24.9695,4.695,3
"232","C","r",4,51.28571429,71.74,48.6812,31.3077,6.0605,3
"233","C","r",4,51.28571429,64.36,53.8489,32.9192,5.0962,3
"234","C","r",4,51.28571429,82.91,49.2042,29.5887,5.0193,3
"235","C","r",4,51.28571429,85.58,53.1118,31.8611,5.7578,3
"236","C","r",4,51.28571429,84.94,62.5335,30.5713,5.7481,3
"237","C","r",4,51.28571429,79.58,49.1961,31.8672,5.3612,3
"238","C","r",4,51.28571429,112.21,49.6377,47.6933,6.5067,3
"239","C","r",4,51.28571429,75.67,81.4958,27.4329,5.0148,3
"240","C","r",4,51.28571429,66.75,42.8246,23.489,3.9261,3
"241","C","r",4,51.28571429,88.36,37.2769,37.4595,5.6928,3
"242","B","r",2,51.42857143,86.23,82.355,52.4103,7.4867,3
"243","B","r",2,51.42857143,105.43,56.2087,33.971,5.7993,3
"244","B","r",2,51.42857143,52.13,19.7357,13.6821,4.0021,3
"245","B","r",2,51.42857143,105.73,88.4385,51.7157,7.2283,3
"246","B","r",2,51.42857143,86.61,47.0578,25.3905,4.6675,3
"247","B","r",2,51.42857143,119.98,108.5556,62.3257,8.9473,3
"248","B","r",2,51.42857143,81.57,54.2225,36.9213,5.0898,3
"249","B","r",2,51.42857143,110.62,60.4877,35.8542,6.1254,3
"250","B","r",2,51.42857143,81.18,41.1382,25.8256,43836,3
"251","B","r",2,51.42857143,53.23,24.368,16.0232,3.6153,3
"252","B","r",3,51.42857143,94.6,72.6602,44.1942,7.3003,3
"253","B","r",3,51.42857143,100.83,54.6157,29.1257,5.3185,3
"254","B","r",3,51.42857143,85.9,41.5082,26.8019,4.407,3
"255","B","r",3,51.42857143,87.83,56.8531,33.2281,6.0205,3
"256","B","r",3,51.42857143,79.66,54.8451,32.2758,5.0353,3
"257","B","r",3,51.42857143,80.73,35.5288,24.0303,4.1788,3
"258","B","r",3,51.42857143,82.58,55.0541,32.8799,5.1887,3
"259","B","r",3,51.42857143,105.77,72.8757,46.2993,7.0923,3
"260","B","r",3,51.42857143,93.7,35.5195,23.7037,4.2182,3
"261","B","r",3,51.42857143,74.66,38.9284,27.2491,4.3003,3
"262","C","b",1,51.28571429,64.32,15.3114,9.9826,2.6879,3
"263","C","b",1,51.28571429,77.51,26.1062,15.7296,3.0769,3
"264","C","b",1,51.28571429,62.92,17.9052,11.6582,3.0507,3
"265","C","b",1,51.28571429,79.29,25.8111,14.8632,2.9116,3
"266","C","b",1,51.28571429,92.64,33.8014,23.8309,3.3771,3
"267","C","b",1,51.28571429,74.49,18.6349,11.7089,2.99,3
"268","C","b",1,51.28571429,46.57,22.2431,14.5041,2.9354,3
"269","C","b",1,51.28571429,101.55,37.3376,24.6621,3.7488,3
"270","C","b",1,51.28571429,63.47,18.0455,12.6418,2.9613,3
"271","C","b",1,51.28571429,82.36,25.2984,15.5784,3.1574,3
"272","C","b",2,51.28571429,85.65,32.0645,19.456,3.5523,3
"273","C","b",2,51.28571429,47.95,8.5337,5.5687,2.6532,3
"274","C","b",2,51.28571429,85.52,41.2554,23.8653,3.7164,3
"275","C","b",2,51.28571429,92.71,42.2169,25.787,4.1204,3
"276","C","b",2,51.28571429,76.37,33.0463,19.2844,3.2235,3
"277","C","b",2,51.28571429,91.83,23.6372,16.4916,2.9992,3
"278","C","b",2,51.28571429,63.5,19.4532,11.1039,2.872,3
"279","C","b",2,51.28571429,74.41,34.581,23.1636,3.6942,3
"280","C","b",2,51.28571429,46.82,11.2465,7.0676,2.7972,3
"281","C","b",2,51.28571429,51.2,10.3252,7.0787,2.695,3
"282","C","b",3,51.28571429,73.33,32.7013,19.1309,3.3526,3
"283","C","b",3,51.28571429,77.85,34.4069,19.8369,3.175,3
"284","C","b",3,51.28571429,77.57,31.2446,17.9274,2.9871,3
"285","C","b",3,51.28571429,88.43,36.9224,23.6386,3.2928,3
"286","C","b",3,51.28571429,71.35,20.1616,12.1738,2.8409,3
"287","C","b",3,51.28571429,72.49,27.5251,17.0756,3.0568,3
"288","C","b",3,51.28571429,54.42,9.1063,5.8428,2.5796,3
"289","C","b",3,51.28571429,68.4,30.2808,18.2399,3.3791,3
"290","C","b",3,51.28571429,44.12,8.2008,5.7154,2.7192,3
"291","C","b",3,51.28571429,59.64,32.4871,21.8524,3.2231,3
"292","C","b",4,51.28571429,70.13,23.3444,13.8585,2.9714,3
"293","C","b",4,51.28571429,68.99,26.8783,15.8883,2.8883,3
"294","C","b",4,51.28571429,69.72,20.3103,13.4814,2.8988,3
"295","C","b",4,51.28571429,73.76,26.7039,17.3507,3.1532,3
"296","C","b",4,51.28571429,52.03,12.7305,8.6803,2.7086,3
"297","C","b",4,51.28571429,42.25,7.1517,5.1152,2.5826,3
"298","C","b",4,51.28571429,38.67,8.2283,5.5739,2.5775,3
"299","C","b",4,51.28571429,32.17,5.63,4.5025,2.5211,3
"300","C","b",4,51.28571429,65.05,19.035,12.5053,3.0501,3
"301","C","b",4,51.28571429,60.69,18.3663,12.1175,2.8966,3
"302","C","b",5,51.28571429,51.86,13.421,8.8526,2.7106,3
"303","C","b",5,51.28571429,56.83,17.469,11.4262,2.7031,3
"304","C","b",5,51.28571429,70.75,32.2764,20.7472,3.4158,3
"305","C","b",5,51.28571429,48.05,10.9659,7.3932,2.7129,3
"306","C","b",5,51.28571429,73.57,25.5908,16.8132,3.0628,3
"307","C","b",5,51.28571429,36.92,7.7403,6.0603,2.6542,3
"308","C","b",5,51.28571429,51.71,16.2826,10.7271,2.8196,3
"309","C","b",5,51.28571429,64.18,20.1849,11.8861,2.7746,3
"310","C","b",5,51.28571429,80.94,31.7377,18.6102,2.9848,3
"311","C","b",5,51.28571429,59.08,17.6743,11.402,2.814,3
"312","A","b",1,51.57142857,72.32,34.1671,23.5617,3.7322,3
"313","A","b",1,51.57142857,68.17,22.8518,15.3015,3.1514,3
"314","A","b",1,51.57142857,65.64,18.6705,11.1558,2.9089,3
"315","A","b",1,51.57142857,95.83,32.2949,20.9828,3.2821,3
"316","A","b",1,51.57142857,69.96,23.309,14.4253,3.0203,3
"317","A","b",1,51.57142857,33.98,6.2107,4.9771,2.5707,3
"318","A","b",1,51.57142857,87.08,32.973,20.6335,3.5911,3
"319","A","b",1,51.57142857,83.68,33.7024,21.4283,3.5367,3
"320","A","b",1,51.57142857,62.01,22.1688,12.6391,2.8383,3
"321","A","b",2,51.57142857,58.88,23.4777,15.3497,3.0671,3
"322","A","b",2,51.57142857,47.19,8.485,6.2086,2.6063,3
"323","A","b",2,51.57142857,62.9,20.2191,13.133,2.9457,3
"324","A","b",2,51.57142857,60.59,25.2795,16.7705,2.9867,3
"325","A","b",2,51.57142857,79.48,24.1679,15.8201,3.0626,3
"326","A","b",2,51.57142857,63.82,23.1662,17.1412,3.2607,3
"327","A","b",2,51.57142857,67.69,30.167,19.6211,3.6215,3
"328","A","b",2,51.57142857,62.23,11.9491,8.5049,2.9358,3
"329","A","b",2,51.57142857,77.61,33.2828,21.0189,3.6534,3
"330","A","b",2,51.57142857,58.91,24.2617,15.7029,3.2417,3
"331","A","b",3,51.57142857,64.96,21.1775,14.4472,3.0218,3
"332","A","b",3,51.57142857,74.5,30.5937,19.3865,3.3991,3
"333","A","b",3,51.57142857,62.75,17.3162,12.3614,2.6197,3
"334","A","b",3,51.57142857,32.73,8.4262,6.0839,2.9191,3
"335","A","b",3,51.57142857,62.43,18.4123,11.3246,2.8286,3
"336","A","b",3,51.57142857,52.5,12.4045,8.2492,2.7837,3
"337","A","b",3,51.57142857,35.65,8.356,6.0916,2.5921,3
"338","A","b",3,51.57142857,50.82,15.2791,10.812,2.7942,3
"339","A","b",3,51.57142857,51.5,27.8706,17.0761,3.2368,3
"340","A","b",4,51.57142857,51.21,20.8214,13.2748,2.9391,3
"341","A","b",4,51.57142857,71.97,25.9917,16.7748,3.3515,3
"342","A","b",4,51.57142857,37.5,6.0061,4.7083,2.5284,3
"343","A","b",4,51.57142857,59.57,15.3018,10.3965,3.0023,3
"344","A","b",4,51.57142857,62.71,20.7041,15.3956,3.2647,3
"345","A","b",4,51.57142857,78.69,28.4717,16.9231,3.0915,3
"346","A","b",4,51.57142857,68.35,23.5319,12.8712,2.8466,3
"347","A","b",4,51.57142857,69.2,31.9825,18.789,3.2233,3
"348","A","b",4,51.57142857,60.29,17.9281,10.9183,2.9946,3
"349","A","b",4,51.57142857,91.69,37.787,22.5365,3.412,3
"350","A","b",5,51.57142857,68.77,42.6316,26.716,4.0909,3
"351","A","b",5,51.57142857,40.86,10.9152,7.6021,2.6376,3
"352","A","b",5,51.57142857,63.35,22.2722,13.8764,3.0078,3
"353","A","b",5,51.57142857,55.33,17.5437,11.4213,2.9469,3
"354","A","b",5,51.57142857,59.12,15.6776,10.3396,3.0021,3
"355","A","b",5,51.57142857,76.36,28.6437,19.5126,3.6688,3
"356","A","b",5,51.57142857,65.1,18.1689,12.7329,2.9869,3
"357","A","b",5,51.57142857,65.71,27.238,15.806,3.3289,3
"358","A","b",5,51.57142857,65.49,21.8144,12.31,2.862,3
"359","A","b",5,51.57142857,49.85,11.931,8.0843,2.7218,3
"360","B","b",1,51.71428571,68.44,19.2619,11.6721,2.9049,3
"361","B","b",1,51.71428571,49.58,13.2967,8.2583,2.7034,3
"362","B","b",1,51.71428571,44.86,16.3747,10.4549,2.8462,3
"363","B","b",1,51.71428571,49.4,18.8593,12.1659,2.9705,3
"364","B","b",1,51.71428571,54.58,16.8938,10.8023,2.8035,3
"365","B","b",1,51.71428571,51.56,14.5992,9.3876,2.7605,3
"366","B","b",1,51.71428571,39.13,9.4542,6.5797,2.6193,3
"367","B","b",1,51.71428571,65.04,18.7459,10.2217,2.7713,3
"368","B","b",1,51.71428571,38.32,9.6319,6.6732,2.6867,3
"369","B","b",1,51.71428571,68.34,22.7061,14.7869,3.027,3
"370","B","b",2,51.71428571,44.91,11.7462,8.0965,2.713,3
"371","B","b",2,51.71428571,52.3,12.8795,9.4732,2.6999,3
"372","B","b",2,51.71428571,57.45,18.424,12.808,2.9442,3
"373","B","b",2,51.71428571,24.82,4.3182,3.6383,2.5253,3
"374","B","b",2,51.71428571,39.56,8.336,6.1925,2.6543,3
"375","B","b",2,51.71428571,43.31,16.5832,10.4063,2.7976,3
"376","B","b",2,51.71428571,52.42,18.9802,12.0895,3.0247,3
"377","B","b",2,51.71428571,60.69,20.2771,13.5616,2.9122,3
"378","B","b",2,51.71428571,54.17,14.6873,9.7264,2.809,3
"379","B","b",2,51.71428571,52.08,12.5814,8.4914,2.6926,3
"380","B","b",3,51.71428571,87.36,32.6854,17.2819,3.2327,3
"381","B","b",3,51.71428571,50.11,20.8348,12.6595,2.8955,3
"382","B","b",3,51.71428571,76.58,23.0671,14.363,2.9928,3
"383","B","b",3,51.71428571,72.38,27.9708,16.6631,3.0098,3
"384","B","b",3,51.71428571,66.83,24.8844,14.5481,2.9089,3
"385","B","b",3,51.71428571,62.93,18.683,10.9667,2.8633,3
"386","B","b",3,51.71428571,54.95,19.0113,11.1173,2.8643,3
"387","B","b",3,51.71428571,75.67,28.9569,18.0363,3.0361,3
"388","B","b",3,51.71428571,62.24,20.9529,13.7994,2.8841,3
"389","B","b",3,51.71428571,79.75,33.7566,20.6921,3.3492,3
"390","B","b",4,51.71428571,71.83,24.7983,15.249,3.1236,3
"391","B","b",4,51.71428571,44.21,10.1296,6.7887,2.6171,3
"392","B","b",4,51.71428571,43.88,13.5643,8.4994,2.7201,3
"393","B","b",4,51.71428571,64.02,23.9616,13.7463,2.9651,3
"394","B","b",4,51.71428571,62.61,15.2907,9.4065,2.8163,3
"395","B","b",4,51.71428571,61.96,24.0003,15.3971,3.2509,3
"396","B","b",4,51.71428571,62.01,21.5552,14.465,2.9353,3
"397","B","b",4,51.71428571,47.9,26.3653,16.6765,3.187,3
"398","B","b",4,51.71428571,36.88,8.9168,6.3363,2.5883,3
"399","B","b",4,51.71428571,75.2,34.1349,22.3421,3.449,3
"400","B","b",5,51.71428571,69.32,23.531,15.6968,3.1026,3
"401","B","b",5,51.71428571,47.36,21.8997,14.3666,3.0794,3
"402","B","b",5,51.71428571,52.21,18.4104,9.9781,2.6994,3
"403","B","b",5,51.71428571,54.67,13.4394,9.3314,2.8196,3
"404","B","b",5,51.71428571,48.22,13.7318,8.6324,2.7389,3
"405","B","b",5,51.71428571,49.97,13.9877,9.2358,2.6799,3
"406","B","b",5,51.71428571,56.35,19.0064,14.1187,2.9541,3
"407","B","b",5,51.71428571,32.29,5.3124,4.131,2.5045,3
"408","B","b",5,51.71428571,31.08,6.2115,4.7054,2.5655,3
"409","B","b",5,51.71428571,64.29,28.0248,15.9311,3.1548,3
"410","A","r",1,51.71428571,106.73,73.7104,49.3735,6.1341,3
"411","A","r",1,51.71428571,61.19,29.8691,20.7882,4.427,3
