"","site","b_r","temp_av","sal_av","av_dmax_t","av_dmin_t","av_dmin_s","tot_dh_t","tot_dh_s","month"
"39","E","b",12.2443027210884,23.3143920068027,13.0514285714286,10.5848979591837,14.4683673469388,0,879.79,8
"40","E","r",12.5640134028295,25.3701067262348,13.213488372093,12,25.1753488372093,0,0,8
"41","A","b",7.56974219711782,21.2464675211818,8.57590277777778,4.76388888888889,7.80006944444444,0,6162.08,12
"42","A","r",8.42102208748376,23.0962833838603,8.66296551724138,8.04634482758621,20.9888965517241,0,297.735,12
"43","B","b",7.30715930485156,21.2357179580014,8.79173611111111,3.14791666666667,1.21034722222222,0,10931.08125,12
"44","B","r",7.76485076810534,25.7873562545721,8.26545454545455,7.10006993006993,24.0334965034965,0,84.045,12
"45","C","b",7.07284432448205,20.0507179157522,7.8248951048951,4.43762237762238,7.49686251167889,0,10684.8010891427,12
"46","C","r",7.2898694559274,25.6945842932807,7.65004689615951,6.87967374952423,25.0673799342076,0,0,12
"47","D","b",7.90249136981271,23.6505655526992,8.72021126760563,5.16225352112676,9.99894366197183,0,4614.795,12
"48","D","r",8.04991248713046,22.9138638035005,8.58007042253521,7.41492957746479,21.6238732394366,0,266.6675,12
"49","E","b",7.79636510619534,21.720755493496,8.56647887323944,4.89147887323944,7.61443661971831,0,5672.72,12
"50","E","r",7.96563438327936,22.2289130114807,8.54485915492958,7.21647887323944,20.6621830985915,0,559.2,12
