site,b_r,bag,number,outplant_time,tin_ mass,wet_mass,dry_whole,dry_tissue,shell_length,shell_thick_bottom,shell_thick_top,
D,b,4,6,8.142857143,1.0026,2.3796,2.0551,1.0782,28.28,1.31,0.66,
D,b,4,7,8.142857143,0.9831,3.3102,2.7087,1.1023,30.76,0.65,0.86,
D,b,4,8,8.142857143,0.9852,3.8236,3.0646,1.136,34.23,0.9,0.58,
D,b,4,9,8.142857143,0.9999,4.2068,3.4565,1.1532,37.45,0.97,0.56,
D,b,4,10,8.142857143,1.0011,3.2518,2.5445,1.1338,31,0.84,0.55,
D,b,5,1,8.142857143,1.2463,4.6026,3.6997,1.3688,40.37,0.87,0.88,
D,b,5,2,8.142857143,1.0028,3.1604,2.4505,1.1119,34.81,0.81,0.86,
D,b,5,3,8.142857143,1.0055,4.5775,3.1914,1.1498,34.52,0.99,0.64,
D,b,5,4,8.142857143,0.9786,4.1127,3.0371,1.1201,35.84,1.17,0.83,
D,b,5,5,8.142857143,1.0085,3.3424,2.7675,1.1495,29.35,0.69,0.57,
D,b,5,6,8.142857143,0.9903,4.3614,3.4207,1.1461,40.12,1.06,0.81,
D,b,5,7,8.142857143,0.998,4.687,3.1158,1.132,38.65,0.64,0.65,
D,b,5,8,8.142857143,1.0215,3.4036,2.8103,1.1385,33.11,0.81,0.75,
D,b,5,9,8.142857143,1.0106,4.5194,3.4883,1.1487,41.87,0.8,0.66,
D,b,5,10,8.142857143,0.9991,4.9367,3.5669,1.1386,37.26,1.28,0.72,
E,r,1,1,8.142857143,1.0063,4.1569,3.0998,1.1949,34.77,0.89,0.46,
E,r,1,2,8.142857143,0.9554,4.3918,3.1631,1.2251,40.43,0.53,0.53,
E,r,1,3,8.142857143,1.0228,5.499,3.7754,1.4202,41.9,0.67,0.46,
E,r,1,4,8.142857143,0.97,4.7315,3.3773,1.2683,34.81,0.73,0.45,
E,r,1,5,8.142857143,0.9993,5.3261,3.8688,1.3238,39.11,0.89,0.38,
E,r,1,6,8.142857143,1.0404,3.6826,2.8521,1.2285,28.98,1.06,0.62,
E,r,1,7,8.142857143,1.0245,6.1442,3.8864,1.4422,43.39,0.88,0.43,
E,r,1,8,8.142857143,1.0134,5.0685,3.8721,1.267,44.36,0.86,0.55,
E,r,1,9,8.142857143,1.0275,5.5888,4.1567,1.3495,45.25,0.94,0.55,
E,r,1,10,8.142857143,1.0003,6.3088,4.5305,1.4565,54.86,0.66,0.49,
E,r,2,1,8.142857143,1.0051,5.6572,4.0398,1.4129,46.26,0.83,0.48,
E,r,2,2,8.142857143,1.0102,5.217,3.7937,1.276,45.33,0.67,0.53,
E,r,2,3,8.142857143,0.9782,5.8476,3.9115,1.3555,38.15,1.01,0.84,
E,r,2,4,8.142857143,1.0146,4.1066,2.4485,1.1799,26.86,0.29,0.63,
E,r,2,5,8.142857143,0.9946,3.2226,2.4769,1.1718,28.67,0.65,0.55,
E,r,2,6,8.142857143,0.9609,5.1272,3.607,1.3458,40.61,0.81,0.35,
E,r,2,7,8.142857143,1.0298,4.589,3.3816,1.2673,36.52,0.89,0.47,
E,r,2,8,8.142857143,1.2636,4.2141,3.2432,1.4697,36.83,0.68,0.55,
E,r,2,9,8.142857143,1.0425,4.1442,3.058,1.2623,33.66,0.46,0.54,
E,r,3,1,8.142857143,1.0024,4.5736,3.3695,1.2668,47.27,0.79,0.49,
E,r,3,2,8.142857143,1.0227,3.9863,3.2377,1.1999,42.66,1.5,0.58,
E,r,3,3,8.142857143,1.0002,4.1836,3.0343,1.2389,38.38,0.46,0.53,
E,r,3,4,8.142857143,0.996,3.7318,2.889,1.1931,33.69,1.24,0.9,
E,r,3,5,8.142857143,1.0087,4.6736,3.6269,1.2598,37.89,1.1,0.67,
E,r,3,6,8.142857143,0.9864,4.0861,3.0152,1.25,31.64,0.71,0.53,
E,r,3,7,8.142857143,1.0042,3.141,2.5376,1.1615,30.74,0.81,0.95,
E,r,3,8,8.142857143,1.019,4.9654,3.5737,1.2968,31.54,1.19,0.71,
E,r,3,9,8.142857143,0.9947,3.3785,2.5685,1.1845,36.18,0.44,0.6,
E,r,4,1,8.142857143,1.0046,5.4487,3.7078,1.4525,45.01,0.98,0.55,
E,r,4,2,8.142857143,1.0079,4.2758,3.2446,1.2759,41.61,1.12,0.74,
E,r,4,3,8.142857143,1.0346,4.5131,3.3412,1.3142,38.94,1.04,0.69,
E,r,4,4,8.142857143,0.9877,5.5364,3.9005,1.2963,44.35,1.09,0.57,
E,r,4,5,8.142857143,1.0232,3.3098,2.5362,1.1586,38.97,0.78,0.51,
E,r,4,6,8.142857143,1.0038,5.7004,3.6433,1.3047,50.31,0.91,0.74,
E,r,4,7,8.142857143,1.0151,3.2288,2.5185,1.1184,31.34,0.94,0.46,
E,r,4,8,8.142857143,1.0302,3.9824,2.8613,1.1717,33.01,0.96,0.76,
E,r,4,9,8.142857143,1.0082,6.2992,4.563,1.3975,36.95,0.95,0.36,
E,r,4,10,8.142857143,0.9875,6.1926,4.2555,1.4335,46.54,0.71,0.4,
