date_time,temp,sal,cond,s_v
42939.50347,19.44,0.01,0,1479.98
42939.51389,19.91,0.01,0,1481.46
42939.52431,20.99,0.01,0,1484.8
42939.53472,21.81,0.01,0,1487.26
42939.54514,23.09,0.01,0,1491
42939.55556,24.39,0.01,0,1494.7
42939.56597,25.12,0.01,0,1496.7
42939.57639,25.64,0.01,0,1498.11
42939.58681,26.16,0.01,0,1499.51
42939.59722,26.83,0.01,0,1501.27
42939.60764,27.96,0.01,0,1504.19
42939.61806,28.68,0.01,0,1506.01
42939.62847,18.61,20.55,28.78,1500.95
42939.63889,18.04,20.58,28.46,1499.27
42939.64931,17.39,20.67,28.16,1497.35
42939.65972,17.15,20.73,28.08,1496.67
42939.67014,16.64,20.89,27.95,1495.24
42939.68056,16.09,21.07,27.83,1493.72
42939.69097,15.79,21.26,27.87,1492.98
42939.70139,15.55,21.38,27.85,1492.32
42939.71181,15.33,21.53,27.89,1491.8
42939.72222,15.39,21.47,27.86,1491.93
42939.73264,15.7,21.44,28.02,1492.89
42939.74306,15.67,21.48,28.05,1492.84
42939.75347,15.55,21.55,28.06,1492.53
42939.76389,15.3,21.67,28.04,1491.87
42939.77431,15.15,21.73,28.01,1491.45
42939.78472,15.03,21.78,27.99,1491.1
42939.79514,15,21.85,28.05,1491.08
42939.80556,15.06,21.84,28.08,1491.27
42939.81597,15.18,21.84,28.16,1491.67
42939.82639,15.21,21.8,28.13,1491.72
42939.83681,15.3,21.82,28.22,1492.05
42939.84722,15.27,21.79,28.16,1491.91
42939.85764,15.36,21.78,28.21,1492.21
42939.86806,15.12,21.78,28.05,1491.4
42939.87847,15.24,21.75,28.1,1491.77
42939.88889,15.55,21.65,28.18,1492.65
42939.89931,15.73,21.62,28.26,1493.2
42939.90972,15.7,21.56,28.17,1493.04
42939.92014,16,21.51,28.31,1493.96
42939.93056,15.94,21.45,28.19,1493.68
42939.94097,15.91,21.42,28.13,1493.55
42939.95139,15.91,21.42,28.13,1493.55
42939.96181,16.06,21.43,28.24,1494.05
42939.97222,16.15,21.4,28.27,1494.31
42939.98264,16.15,21.38,28.24,1494.28
42939.99306,16.18,21.39,28.27,1494.39
42940.00347,16.24,21.35,28.27,1494.54
42940.01389,16.24,21.35,28.27,1494.54
42940.02431,16.24,21.35,28.27,1494.54
42940.03472,16.27,21.36,28.3,1494.65
42940.04514,16.3,21.39,28.36,1494.78
42940.05556,16.33,21.37,28.35,1494.86
42940.06597,16.33,21.4,28.38,1494.89
42940.07639,16.33,21.35,28.32,1494.83
42940.08681,16.3,21.39,28.36,1494.78
42940.09722,16.27,21.43,28.39,1494.73
42940.10764,16.33,21.37,28.35,1494.86
42940.11806,16.33,21.4,28.38,1494.89
42940.12847,16.33,21.4,28.38,1494.89
42940.13889,16.21,21.42,28.33,1494.52
42940.14931,16.27,21.43,28.39,1494.73
42940.15972,16.36,21.43,28.44,1495.02
42940.17014,16.43,21.45,28.5,1495.23
42940.18056,16.49,21.41,28.5,1495.39
42940.19097,16.46,21.41,28.47,1495.28
42940.20139,16.39,21.39,28.41,1495.07
42940.21181,16.49,21.41,28.5,1495.39
42940.22222,16.3,21.27,28.21,1494.64
42940.23264,16.03,21.15,27.89,1493.63
42940.24306,15.79,21.09,27.67,1492.78
42940.25347,15.73,20.96,27.47,1492.42
42940.26389,15.7,20.88,27.36,1492.23
42940.27431,15.73,20.84,27.33,1492.29
42940.28472,15.7,20.77,27.22,1492.1
42940.29514,15.7,20.74,27.2,1492.07
42940.30556,15.73,20.8,27.28,1492.23
42940.31597,15.76,20.87,27.39,1492.42
42940.32639,15.82,20.98,27.56,1492.74
42940.33681,15.88,21.04,27.67,1493.01
42940.34722,15.91,21.05,27.69,1493.12
42940.35764,15.94,21.06,27.72,1493.22
42940.36806,16.03,20.7,27.35,1493.1
42940.37847,16.18,20.57,27.29,1493.43
42940.38889,16.27,20.5,27.26,1493.64
42940.39931,16.39,20.48,27.31,1494
42940.40972,16.43,20.44,27.28,1494.05
42940.42014,16.55,20.4,27.3,1494.38
42940.43056,16.7,20.41,27.41,1494.88
42940.44097,16.79,20.54,27.63,1495.32
42940.45139,17,20.55,27.77,1495.99
42940.46181,17.24,20.46,27.81,1496.64
42940.47222,17.98,0.01,0,1475.31
42940.48264,18.82,0.01,0,1478.01
42940.49306,19.64,0.01,0,1480.63
42940.50347,19.88,0.01,0,1481.37
42940.51389,20.32,0.01,0,1482.74
42940.52431,21.78,0.01,0,1487.17
42940.53472,21.95,0.01,0,1487.69
42940.54514,22.3,0.01,0,1488.72
42940.55556,22.62,0.01,0,1489.66
42940.56597,22.68,0.01,0,1489.83
42940.57639,24.83,0.01,0,1495.9
42940.58681,25.58,0.01,0,1497.96
42940.59722,27.72,0.01,0,1503.59
42940.60764,29.32,0.01,0,1507.6
42940.61806,30.05,0.01,0,1509.37
42940.62847,31.34,0.01,0,1512.42
42940.63889,31.99,0.01,0,1513.92
42940.64931,28.16,0.01,0,1504.7
42940.65972,17.51,20.77,28.37,1497.84
42940.67014,17.48,20.77,28.34,1497.74
42940.68056,17.27,20.95,28.44,1497.3
42940.69097,16.76,21.36,28.61,1496.18
42940.70139,16.73,21.56,28.83,1496.32
42940.71181,16.67,21.67,28.93,1496.26
42940.72222,16.64,21.69,28.93,1496.18
42940.73264,16.61,21.78,29.02,1496.2
42940.74306,15.97,22.18,29.08,1494.64
42940.75347,15.7,22.21,28.94,1493.8
42940.76389,15.03,22.45,28.78,1491.9
42940.77431,14.87,22.49,28.72,1491.44
42940.78472,14.69,22.47,28.57,1490.81
42940.79514,14.72,22.43,28.54,1490.85
42940.80556,15.39,22.29,28.82,1492.9
42940.81597,15.94,22.07,28.93,1494.41
42940.82639,16.21,22.01,29.04,1495.22
42940.83681,16.03,22.15,29.08,1494.8
42940.84722,15.73,22.22,28.97,1493.91
42940.85764,15.52,22.27,28.88,1493.27
42940.86806,15.52,22.24,28.85,1493.24
42940.87847,15.3,22.26,28.73,1492.57
42940.88889,15.06,22.33,28.65,1491.85
42940.89931,14.9,22.32,28.53,1491.33
42940.90972,14.81,22.34,28.51,1491.06
