.imp	site	b_r	temp_av	temp_se	sal_av	sal_se	av_dmax_t	dmax_sd	av_dmin_t	dmin_tse	av_dmin_s	dmin_sse	tot_dh_t	tot_dh_s	month
4	B	r	16.0323201555412	2.34818108875108	23.1969259019227	1.33652715292529	17.0285714285714	2.4588699979191	14.9283673469388	2.28246152481151	22.6473469387755	1.34204255941923	0	0	4
4	C	b	17.2082579240261	3.33764140659474	20.8103097023954	6.72148607266783	24.0593181818182	6.85891048291819	14.7477272727273	1.71730570971922	7.75113636363636	10.9056542228096	68.245	1916.535	4
4	C	r	16.3309447194719	1.61693120771087	22.437050330033	1.6511521082105	17.6907843137255	2.68509057064171	15.2439215686275	1.57246186399718	20.1570588235294	6.07699277410057	1.0525	67.1125	4
4	D	b	17.2513892244503	3.56285861437578	21.1856607876299	6.23107318192367	24.4936363636364	7.32498086064936	14.4081818181818	1.31474513000469	8.71181818181818	11.1086288004703	97.8475	1618.6475	4
4	D	r	16.4635545830294	1.88220080533251	22.1031120836372	2.05409995990092	17.9731818181818	2.01820640234155	14.7595454545455	1.376953081475	18.1827272727273	8.06076439437132	0	125.045	4
4	E	b	17.0355955544818	4.11347124408573	19.8161198357091	6.12785442674985	26.1888636363636	9.27181831992607	14.42	1.0719857687358	8.07931818181818	10.2968359099711	197.0825	1793.345	4
4	E	r	16.1294298139647	1.58745388110654	22.932589997584	0.64787074295053	17.8890909090909	1.98528987770554	14.5475	1.05494874779068	22.4338636363636	0.649859433491657	0	0	4
5	A	b	17.7670582032897	3.44852447321785	20.5087431463518	5.06081324826788	23.5696	5.24230357529113	15.2838	1.78624893710427	12.6564	10.4931253996634	22.25	1309.4025	4
5	A	r	13.6694227430556	1.59338610659022	23.6662174479167	1.10104360484859	15.0981632653061	1.60347626719443	11.7848979591837	1.01624333218186	23.000612244898	1.09780919745355	0	0	4
5	B	b	15.4253741760372	3.0462206368411	18.381213648701	7.81797336683236	21.2810714285714	4.90774092956689	13.3307142857143	1.66646871840368	3.16071428571429	7.88930590223548	0.2425	2032.88	4
5	B	r	16.0323201555412	2.34818108875108	23.1969259019227	1.33652715292529	17.0285714285714	2.4588699979191	14.9283673469388	2.28246152481151	22.6473469387755	1.34204255941923	0	0	4
5	C	b	17.2082579240261	3.33764140659474	20.8136051294459	6.73800475326901	24.0593181818182	6.85891048291819	14.7477272727273	1.71730570971922	8.16454545454545	10.9496750412747	68.245	1921.0075	4
5	C	r	16.3309447194719	1.61693120771087	22.3952310231023	1.80788098562695	17.6907843137255	2.68509057064171	15.2439215686275	1.57246186399718	19.7821568627451	6.70065319613707	1.0525	96.0925	4
5	D	b	17.2513892244503	3.56285861437578	21.1856607876299	6.23107318192367	24.4936363636364	7.32498086064936	14.4081818181818	1.31474513000469	8.71181818181818	11.1086288004703	97.8475	1618.6475	4
5	D	r	16.4635545830294	1.88220080533251	22.0285047410649	2.30497948454273	17.9731818181818	2.01820640234155	14.7595454545455	1.376953081475	18.1829545454545	8.06023993512844	0	174.455	4
5	E	b	17.0355955544818	4.11347124408573	19.8022904083112	6.13557045953568	26.1888636363636	9.27181831992607	14.42	1.0719857687358	8.07931818181818	10.2968359099711	197.0825	1802.3775	4
5	E	r	16.1294298139647	1.58745388110654	22.932589997584	0.64787074295053	17.8890909090909	1.98528987770554	14.5475	1.05494874779068	22.4338636363636	0.649859433491657	0	0	4
