site,b_r,bag,number,outplant_time,tin_mass,wet_mass,shell_length,dry_whole,dry_tissue
D,b,2,3,31,2.4826,30.6729,63.59,18.0954,3.4479
D,b,2,4,31,2.4242,30.2599,64.19,19.1868,3.7571
D,b,2,5,31,2.5308,24.2807,58.19,15.3277,3.5287
D,b,2,6,31,2.4785,22.6587,51.4,17.7852,3.5436
D,b,2,7,31,2.4952,17.5877,63.15,12.5302,3.0757
D,b,2,8,31,2.4785,25.8595,73.29,16.0009,3.4729
D,b,2,9,31,2.4986,21.6549,61.18,10.8066,3.0215
D,b,2,10,31,2.498,33.6217,78.53,13.5673,3.1326
D,b,3,1,31,2.5988,24.5518,51.24,14.2313,3.3212
D,b,3,2,31,2.6116,35.0938,59.87,21.5438,3.84
D,b,3,3,31,2.5669,30.8947,86.3,18.6288,3.8511
D,b,3,4,31,2.4971,27.3083,66.1,15.6798,3.3014
D,b,3,5,31,2.5143,15.6813,53.46,9.1382,2.9855
D,b,3,6,31,2.4925,16.5575,70.47,9.705,2.8465
D,b,3,7,31,2.4689,17.7598,66.85,9.9926,2.9051
D,b,3,8,31,2.4578,21.6378,70.37,11.9092,3.0876
D,b,3,9,31,2.4718,34.0687,67.33,18.6136,3.5666
D,b,3,10,31,2.4557,24.4141,73.08,14.0531,3.1088
D,b,4,1,31,2.5448,10.3938,63.2,7.6636,2.7338
D,b,4,2,31,2.5011,12.0208,70.47,7.3499,2.7047
D,b,4,3,31,2.4702,36.0288,46.71,21.4287,3.4422
D,b,4,4,31,2.5051,21.3026,57.09,11.8705,2.9775
D,b,4,5,31,2.4859,47.4058,54.39,25.9317,3.7593
D,b,4,6,31,2.4915,41.7901,93.35,21.1044,3.7058
D,b,4,7,31,2.5239,41.6673,67.62,25.5588,3.9766
D,b,4,8,31,2.4785,21.1454,70.47,13.3491,2.9297
D,b,4,9,31,2.5026,33.0364,64.72,9.4981,2.961
D,b,4,10,31,2.4604,16.112,58.08,19.0733,3.512
D,b,5,1,31,2.5152,20.2352,60.1,12.0788,3.0294
D,b,5,2,31,2.4585,15.3241,63.49,9.9012,2.7916
D,b,5,3,31,2.5116,30.6564,75.97,19.1253,3.3375
D,b,5,4,31,2.4944,33.5904,80.53,19.5938,3.4598
D,b,5,5,31,2.4988,43.5458,68.96,25.193,4.435
D,b,5,6,31,2.4657,32.0747,75.92,17.3043,3.4293
D,b,5,7,31,2.447,16.3324,50.04,9.6266,2.8377
D,b,5,8,31,2.4805,38.8563,69.3,24.2811,4.0091
D,b,5,9,31,2.4769,36.2074,71.01,21.306,3.9261
D,b,5,10,31,2.4271,7.7947,40.26,5.6102,2.609
D,r,1,1,31.14285714,2.4926,34.7311,65.92,19.6562,3.8287
D,r,1,2,31.14285714,2.6418,26.0252,59.36,14.8553,4.0436
D,r,1,3,31.14285714,2.4958,50.2432,69.1,20.9857,4.5585
D,r,1,4,31.14285714,2.544,39.8921,63.36,26.9802,4.7669
D,r,1,5,31.14285714,2.5072,29.941,53.21,16.1235,4.4151
D,r,1,6,31.14285714,2.4387,51.3481,87.99,28.8379,5.5411
D,r,1,7,31.14285714,2.5004,43.2171,87.66,23.7304,4.6701
D,r,1,8,31.14285714,2.4948,46.3521,66.98,23.9744,4.8469
D,r,1,9,31.14285714,2.5063,29.9236,56.84,17.2341,4.4043
D,r,1,10,31.14285714,2.436,37.0442,78.24,18.0674,4.2585
D,r,2,1,31.14285714,2.5056,17.6106,47.7,9.7363,3.2315
D,r,2,2,31.14285714,2.5407,59.0579,65.45,27.3949,5.0662
D,r,2,3,31.14285714,2.4694,21.6132,55.04,12.4698,3.635
D,r,2,4,31.14285714,2.4709,18.7575,47.72,11.0603,3.1486
D,r,2,5,31.14285714,2.4501,25.469,65.93,13.9755,3.7706
D,r,2,6,31.14285714,2.4701,48.2575,79.35,23.7958,4.6398
D,r,2,7,31.14285714,2.4568,37.4689,73.98,20.39267,4.4406
D,r,2,8,31.14285714,2.4569,40.7898,82.64,20.7739,4.2862
D,r,2,9,31.14285714,2.4706,20.0178,51.97,11.5971,3.2952
D,r,2,10,31.14285714,2.443,33.811,74.32,18.3898,3.8652
D,r,3,1,31.14285714,2.4577,21.8968,62.94,12.2234,3.5348
D,r,3,2,31.14285714,2.5023,17.9167,48.15,11.0566,3.3926
D,r,3,3,31.14285714,2.443,22.0106,52.48,11.7408,3.2143
D,r,3,4,31.14285714,2.5236,19.1696,53.88,11.9298,3.4884
D,r,3,5,31.14285714,2.5078,17.2794,68.34,11.1811,3.119
D,r,3,6,31.14285714,2.4828,24.0478,51.05,13.897,3.6464
D,r,3,7,31.14285714,2.4651,50.3987,94.03,27.0219,5.1498
D,r,3,8,31.14285714,2.4552,46.5788,73.25,24.8528,5.0181
D,r,3,9,31.14285714,2.4788,29.6174,60.67,16.5692,3.5639
D,r,3,10,31.14285714,2.4496,49.2639,79.23,25.1677,4.8824
D,r,3,11,31.14285714,2.4711,33.9563,69.94,19.8526,4.1531
D,r,4,1,31.14285714,2.5161,28.9056,62.85,16.3859,4.0148
D,r,4,2,31.14285714,2.5261,30.1906,57.78,16.7285,3.8812
D,r,4,3,31.14285714,2.5957,41.4665,80.33,22.7745,5.0252
D,r,4,4,31.14285714,2.4488,32.3581,65.69,17.5055,3.6911
D,r,4,5,31.14285714,2.4997,25.1021,70.5,13.1793,3.3132
D,r,4,6,31.14285714,2.4948,23.8972,62.32,13.2355,3.6686
D,r,4,7,31.14285714,2.5207,22.2815,58.16,13.2405,3.7638
D,r,4,8,31.14285714,2.5016,40.2208,73.74,19.5077,4.1121
D,r,4,9,31.14285714,2.5208,52.6658,83.46,29.4133,5.124
D,r,4,10,31.14285714,2.5421,25.6415,59.38,13.3037,3.7829
D,r,5,1,31.14285714,2.5588,24.7115,62.03,13.1272,3.7211
D,r,5,2,31.14285714,2.5128,20.1987,60.02,11.2002,3.0668
D,r,5,3,31.14285714,2.4334,22.4617,57.16,13.2563,3.6968
D,r,5,4,31.14285714,2.4883,39.4906,68.44,19.92,4.5618
D,r,5,5,31.14285714,2.524,28.1643,54.03,15.071,3.5073
D,r,5,6,31.14285714,2.5098,32.9997,56.52,19.1901,4.2653
D,r,5,7,31.14285714,2.5249,43.9568,74.25,21.705,4.5844
D,r,5,8,31.14285714,2.5619,27.5292,68.95,16.097,3.8938
D,r,5,9,31.14285714,2.4958,16.7265,53.51,10.347,2.9224
D,r,5,10,31.14285714,2.537,40.6436,69.95,21.7276,4.4405
E,r,1,1,31.14285714,2.4876,46.323,89.28,26.874,5.0119
E,r,1,2,31.14285714,2.495,34.9931,60.71,18.5366,4.2857
E,r,1,3,31.14285714,2.5109,52.8752,68.8,25.8169,5.4808
E,r,1,4,31.14285714,2.5316,32.7415,59.93,17.3696,4.3986
E,r,1,5,31.14285714,2.4788,29.3087,68.51,15.2523,4.0601
E,r,1,6,31.14285714,2.3895,36.6843,67.09,20.2605,4.117
E,r,1,7,31.14285714,2.4853,35.3161,57.85,21.8609,4.653
E,r,1,8,31.14285714,2.4871,26.3855,58.54,15.2538,3.698
E,r,1,9,31.14285714,2.4898,24.2715,64.19,13.5019,3.4354
E,r,1,10,31.14285714,2.4927,43.3603,68.19,27.908,4.8752
E,r,2,1,31.14285714,2.4875,37.1143,55.34,21.4626,4.9449
E,r,2,2,31.14285714,2.5765,36.4274,60.14,18.3129,4.2054
E,r,2,3,31.14285714,2.5084,16.3336,58.34,10.4976,3.3904
E,r,2,4,31.14285714,2.4822,54.4894,89.34,28.0725,5.6599
E,r,2,5,31.14285714,2.5601,53.3708,73.74,27.2677,5.9199
E,r,2,6,31.14285714,2.5024,44.4095,68.67,23.0402,5.1393
E,r,2,7,31.14285714,2.4815,37.1463,66.19,21.0795,4.8137
E,r,2,8,31.14285714,2.5167,34.9416,65.6,18.624,4.2173
E,r,2,9,31.14285714,2.4811,52.3991,82.93,30.1453,6.0354
E,r,2,10,31.14285714,2.4826,21.3253,62.99,12.8899,3.6059
E,r,3,1,31.14285714,2.4916,49.2312,76.52,26.8907,4.7669
E,r,3,2,31.14285714,2.521,38.4897,71.77,21.8951,4.7256
E,r,3,3,31.14285714,2.4543,31.4566,69.85,19.7893,4.3839
E,r,3,4,31.14285714,2.4876,43.3172,75.53,26.8246,5.515
E,r,3,5,31.14285714,2.5102,24.6824,47.17,14.4162,3.7609
E,r,3,6,31.14285714,2.4799,48.5192,75.64,25.1408,4.7072
E,r,3,7,31.14285714,2.5187,41.7945,64.62,24.6533,5.4218
E,r,3,8,31.14285714,2.4925,28.8573,56.07,17.8828,4.0838
E,r,3,9,31.14285714,2.4711,49.1611,71.89,29.6802,5.7776
E,r,3,10,31.14285714,2.5719,45.3258,74.67,24.2857,5.1077
E,r,4,1,31.14285714,2.555,51.9137,66.54,27.253,5.8963
E,r,4,2,31.14285714,2.4885,48.3972,75.66,26.3693,6.1971
E,r,4,3,31.14285714,2.5089,34.7219,69.28,18.7524,4.219
E,r,4,4,31.14285714,2.4855,26.8451,70.1,16.5384,3.5818
E,r,4,5,31.14285714,2.4798,37.6281,78.09,22.5803,4.8653
E,r,4,6,31.14285714,2.4648,35.8327,86.64,23.741,4.9332
E,r,4,7,31.14285714,2.4495,33.6927,68.5,19.1015,3.9992
E,r,4,8,31.14285714,2.451,44.6357,74.56,23.8132,4.9304
E,r,4,9,31.14285714,2.4639,45.191,63.97,22.6766,4.8659
E,r,4,10,31.14285714,2.4276,29.973,58.59,16.9428,3.7278
E,r,5,1,31.14285714,2.5354,33.5897,58.56,19.0714,4.4956
E,r,5,2,31.14285714,2.5381,50.8891,76.66,27.7741,5.9438
E,r,5,3,31.14285714,2.4628,71.9808,89.88,38.3774,6.9553
E,r,5,4,31.14285714,2.4653,37.3708,71.23,20.0381,4.7439
E,r,5,5,31.14285714,2.5952,28.7184,72.48,16.3729,3.89668
E,r,5,6,31.14285714,2.486,22.2239,53.93,13.372,3.8088
E,r,5,7,31.14285714,2.5198,20.9358,48.55,12.5142,3.5602
E,r,5,8,31.14285714,2.55,21.8285,49.54,12.4777,3.404
E,r,5,9,31.14285714,2.5382,52.664,79.57,27.5425,4.8775
E,r,5,10,31.14285714,2.4712,38.5026,64.91,23.2958,4.8951
C,b,1,2,31.28571429,2.4622,18.7267,57.29,10.5163,2.8306
C,b,1,3,31.28571429,2.5844,21.3591,59.89,10.8304,2.8074
C,b,1,4,31.28571429,2.4727,19.7298,54.52,12.3608,3.3472
C,b,1,5,31.28571429,2.513,22.1748,76.54,13.2829,3.0631
C,b,1,6,31.28571429,2.4981,32.2676,70.33,14.8972,3.0863
C,b,1,7,31.28571429,2.4931,20.2127,66.28,12.4967,2.833
C,b,1,8,31.28571429,2.5247,33.2021,73.18,18.9232,3.5324
C,b,1,9,31.28571429,2.4664,23.3963,66.74,15.1067,3.1008
C,b,1,10,31.28571429,2.5584,39.6944,80.42,20.7795,3.6906
C,b,2,1,31.28571429,2.5723,37.0288,79.49,23.3447,3.7402
C,b,2,2,31.28571429,2.5728,14.1061,52.96,8.7192,2.7404
C,b,2,3,31.28571429,2.4761,28.763,80.15,16.9457,3.1577
C,b,2,4,31.28571429,2.4737,42.5404,77.41,23.7578,3.7287
C,b,2,5,31.28571429,2.4956,39.2205,87.31,21.0201,3.4096
C,b,2,6,31.28571429,2.4741,20.0891,68.22,11.9528,2.9009
C,b,2,7,31.28571429,2.5489,29.147,77.44,17.3901,3.4593
C,b,2,8,31.28571429,2.506,41.9979,81.23,23.1672,3.4011
C,b,2,9,31.28571429,2.5287,33.3617,78.52,19.6867,3.5872
C,b,2,10,31.28571429,2.5219,10.4659,44.33,6.829,2.6316
C,b,3,1,31.28571429,2.5299,32.2499,88.3,18.6919,3.6391
C,b,3,2,31.28571429,2.4622,25.6079,66.56,14.5087,3.0946
C,b,3,3,31.28571429,2.4457,15.3323,61.72,11.339,2.779
C,b,3,4,31.28571429,2.4452,6.7425,35.41,4.9553,2.513
C,b,3,5,31.28571429,2.4767,21.0289,51.32,12.3641,2.9097
